,BP,ECG,PPG
0,73.0,-0.4437255859375,-1.31744384765625
1,72.0,-0.44189453125,-1.3458251953125
2,71.0,-0.4443359375,-1.3739013671875
3,71.0,-0.4376220703125,-1.40289306640625
4,71.0,-0.42724609375,-1.43218994140625
5,70.0,-0.4266357421875,-1.4617919921875
6,71.0,-0.4290771484375,-1.4935302734375
7,71.0,-0.418701171875,-1.52557373046875
8,71.0,-0.3985595703125,-1.56005859375
9,70.0,-0.3900146484375,-1.59271240234375
10,70.0,-0.3875732421875,-1.62567138671875
11,70.0,-0.3753662109375,-1.6595458984375
12,69.0,-0.3607177734375,-1.6912841796875
13,69.0,-0.3594970703125,-1.7205810546875
14,69.0,-0.3643798828125,-1.7462158203125
15,68.0,-0.3558349609375,-1.767578125
16,67.0,-0.343017578125,-1.78070068359375
17,66.0,-0.3369140625,-1.78192138671875
18,66.0,-0.338134765625,-1.76727294921875
19,65.0,-0.3240966796875,-1.73553466796875
20,65.0,-0.3009033203125,-1.68182373046875
21,65.0,-0.296630859375,-1.60400390625
22,65.0,-0.2978515625,-1.50177001953125
23,64.0,-0.289306640625,-1.37542724609375
24,64.0,-0.2764892578125,-1.22650146484375
25,65.0,-0.2716064453125,-1.05743408203125
26,64.0,-0.269775390625,-0.87310791015625
27,64.0,-0.26123046875,-0.67626953125
28,64.0,-0.2496337890625,-0.47271728515625
29,65.0,-0.2490234375,-0.26641845703125
30,64.0,-0.257568359375,-0.06256103515625
31,64.0,-0.264892578125,0.1348876953125
32,64.0,-0.264892578125,0.3216552734375
33,65.0,-0.2850341796875,0.4962158203125
34,65.0,-0.3094482421875,0.65521240234375
35,64.0,-0.3271484375,0.797119140625
36,65.0,-0.3399658203125,0.9222412109375
37,64.0,-0.360107421875,1.031494140625
38,64.0,-0.3863525390625,1.124267578125
39,64.0,-0.3985595703125,1.202392578125
40,64.0,-0.4058837890625,1.26739501953125
41,64.0,-0.42236328125,1.32232666015625
42,63.0,-0.445556640625,1.36810302734375
43,63.0,-0.4559326171875,1.40533447265625
44,63.0,-0.4559326171875,1.4373779296875
45,63.0,-0.4669189453125,1.46575927734375
46,63.0,-0.47607421875,1.49078369140625
47,62.0,-0.4742431640625,1.51275634765625
48,62.0,-0.46630859375,1.53411865234375
49,61.0,-0.467529296875,1.55364990234375
50,61.0,-0.4736328125,1.57379150390625
51,60.0,-0.4742431640625,1.59210205078125
52,60.0,-0.4718017578125,1.61041259765625
53,59.0,-0.4803466796875,1.62811279296875
